vessel_id,timestamp,lat,lon,speed_knots,heading_deg,linked_slick_id
209101690,2019-09-07T00:14:43Z,31.76766,29.96493,14.3,87.6,SLK-0060
209101690,2019-09-07T00:29:43Z,31.77823,30.03414,15.1,78.9,SLK-0060
209101690,2019-09-07T00:44:43Z,31.78281,30.1086,15.2,87.1,SLK-0060
209101690,2019-09-07T00:59:43Z,31.79448,30.17559,14.1,81.3,SLK-0060
209101690,2019-09-07T01:14:43Z,31.80183,30.24747,15.1,79.7,SLK-0060
209101690,2019-09-07T01:29:43Z,31.80472,30.32072,14.5,85.4,SLK-0060
209156627,2019-03-10T04:54:23Z,32.59076,31.9339,6.4,200.4,SLK-0033
209156627,2019-03-10T05:09:23Z,32.56632,31.91229,6.1,209.5,SLK-0033
209156627,2019-03-10T05:24:23Z,32.53839,31.89965,5.8,207.9,SLK-0033
209156627,2019-03-10T05:39:23Z,32.51484,31.88548,6.3,200.6,SLK-0033
209156627,2019-03-10T05:54:23Z,32.48219,31.87659,5.9,207.0,SLK-0033
209156627,2019-03-10T06:09:23Z,32.45735,31.86077,5.8,207.8,SLK-0033
209156627,2019-03-10T06:24:23Z,32.43633,31.85225,6.5,207.6,SLK-0033
209156627,2019-03-10T06:39:23Z,32.41225,31.83917,6.0,198.1,SLK-0033
209156627,2019-03-10T06:54:23Z,32.39247,31.82181,6.8,204.2,SLK-0033
209230755,2019-09-06T23:29:43Z,31.95464,30.63845,6.8999999999999995,240.6,SLK-0060
209230755,2019-09-06T23:44:43Z,31.93893,30.61299,6.7,242.2,SLK-0060
209230755,2019-09-06T23:59:43Z,31.92592,30.58597,6.7,235.6,SLK-0060
209230755,2019-09-07T00:14:43Z,31.90137,30.56014,7.1,237.5,SLK-0060
209230755,2019-09-07T00:29:43Z,31.89026,30.5321,6.8,238.1,SLK-0060
209230755,2019-09-07T00:44:43Z,31.86928,30.50339,6.3,231.3,SLK-0060
209230755,2019-09-07T00:59:43Z,31.85803,30.4782,6.3,236.8,SLK-0060
209230755,2019-09-07T01:14:43Z,31.83965,30.44192,6.8,242.2,SLK-0060
209230755,2019-09-07T01:29:43Z,31.83052,30.41453,6.5,238.1,SLK-0060
209282255,2019-03-10T05:39:23Z,32.55419,31.59428,10.2,131.8,SLK-0033
209282255,2019-03-10T05:54:23Z,32.52356,31.63649,9.9,132.4,SLK-0033
209282255,2019-03-10T06:09:23Z,32.48907,31.67135,10.4,134.4,SLK-0033
209282255,2019-03-10T06:24:23Z,32.46084,31.70143,10.9,134.0,SLK-0033
209282255,2019-03-10T06:39:23Z,32.4297,31.73773,10.1,139.3,SLK-0033
209282255,2019-03-10T06:54:23Z,32.39438,31.78075,10.9,131.7,SLK-0033
209355039,2019-10-04T04:12:45Z,32.31722,32.45206,16.900000000000002,218.1,
209355039,2019-10-04T04:32:45Z,32.2426,32.38229,16.400000000000002,223.3,
209355039,2019-10-04T04:52:45Z,32.16798,32.31252,17.200000000000003,215.6,
209355039,2019-10-04T05:12:45Z,32.09336,32.24275,16.5,213.3,
209355039,2019-10-04T05:32:45Z,32.01874,32.17298,17.5,223.1,
209355039,2019-10-04T05:52:45Z,31.94412,32.10321,18.1,214.0,
209355039,2019-10-04T06:12:45Z,31.86951,32.03344,17.3,217.1,
209355039,2019-10-04T06:32:45Z,31.79489,31.96368,16.700000000000003,222.5,
209355039,2019-10-04T06:52:45Z,31.72027,31.89391,18.0,219.8,
209355039,2019-10-04T07:12:45Z,31.64565,31.82414,17.700000000000003,212.1,
209462781,2019-11-11T19:59:54Z,35.29124,31.74935,6.2,250.0,SLK-0011
209462781,2019-11-11T20:14:54Z,35.27852,31.71869,6.8,256.8,SLK-0011
209462781,2019-11-11T20:29:54Z,35.26744,31.68729,6.9,255.4,SLK-0011
209462781,2019-11-11T20:44:54Z,35.2583,31.65745,6.8,247.2,SLK-0011
